month,member_casual,n
enero,casual,11547
enero,member,65085
febrero,casual,13744
febrero,member,71117
marzo,casual,59382
marzo,member,143072
abril,casual,82084
abril,member,173548
mayo,casual,194799
mayo,member,269027
junio,casual,261927
junio,member,313105
julio,casual,330581
julio,member,309007
agosto,casual,308477
agosto,member,318956
septiembre,casual,266373
septiembre,member,314650
octubre,casual,173399
octubre,member,276642
noviembre,casual,64307
noviembre,member,178720
diciembre,casual,41110
diciembre,member,126468
