month,member_casual,Promedio
enero,casual,00:17:37.647008
enero,member,00:10:11.091357
febrero,casual,00:20:00.394936
febrero,member,00:10:37.098697
marzo,casual,00:24:47.334782
marzo,member,00:11:42.444972
abril,casual,00:24:04.644023
abril,member,00:11:32.263028
mayo,casual,00:25:51.101299
mayo,member,00:13:14.097161
junio,casual,00:23:34.575958
junio,member,00:13:39.791195
julio,casual,00:26:23.620474
julio,member,00:13:43.785066
agosto,casual,00:25:11.839346
agosto,member,00:13:26.485590
septiembre,casual,00:24:28.198398
septiembre,member,00:13:02.698147
octubre,casual,00:22:55.201524
octubre,member,00:11:57.523380
noviembre,casual,00:19:06.683549
noviembre,member,00:10:53.220602
diciembre,casual,00:19:06.497130
diciembre,member,00:10:30.407581
